Cliente;Data da Limpeza;Equipamento;Status;Obs;Link do Relatório
C-Vale Caarapó (contrato);11/12/2025;Evaporador - SP Frios;A fazer;;https://app.auvo.com.br/informacoes/tarefa/a22a422b-6cd4-471c-a56b-faca043cd495?chave=H4B-r6DULrQbxYKg5Qavug
C-Vale Caarapó (contrato);12/12/2025;Evaporador - Walk in 01;A fazer;;
C-Vale Caarapó (contrato);13/12/2025;Evaporador - Walk in 02;A fazer;;
C-Vale Caarapó (contrato);14/12/2025;Evaporador - SP FLV;A fazer;;
C-Vale Caarapó (contrato);15/12/2025;Evaporador - CFR Frutas;A fazer;;
C-Vale Caarapó (contrato);16/12/2025;Evaporador - CFR Hortifruti;A fazer;;
C-Vale Caarapó (contrato);17/12/2025;Evaporador - SP Frios;A fazer;;
C-Vale Caarapó (contrato);18/12/2025;Evaporador - CFR Frios;A fazer;;
C-Vale Caarapó (contrato);19/12/2025;Evaporador - CFR Padaria;A fazer;;
C-Vale Caarapó (contrato);20/12/2025;Evaporador - SP Açougue;A fazer;;
C-Vale Caarapó (contrato);21/12/2025;Evaporador - CFR Tendal;A fazer;;
C-Vale Caarapó (contrato);22/12/2025;Ilha ICF 01 - Açougue;A fazer;;
C-Vale Caarapó (contrato);23/12/2025;Ilha ICF 02 - Açougue;A fazer;;
C-Vale Caarapó (contrato);24/12/2025;Ilha ICF 03 - Açougue;A fazer;;
C-Vale Caarapó (contrato);25/12/2025;Ilha ICF 04 - Açougue;A fazer;;
C-Vale Caarapó (contrato);26/12/2025;Ilha ICF 05 - Açougue;A fazer;;
C-Vale Caarapó (contrato);27/12/2025;Ilha ICF 06 - Açougue;A fazer;;
C-Vale Caarapó (contrato);28/12/2025;Ilha ICF 07 - Açougue;A fazer;;
C-Vale Caarapó (contrato);29/12/2025;Ilha ICF 08 - Açougue;A fazer;;
C-Vale Caarapó (contrato);30/12/2025;Ilha ICF 01 - Frios;A fazer;;
C-Vale Caarapó (contrato);31/12/2025;Ilha ICF 02 - Frios;A fazer;;
C-Vale Caarapó (contrato);01/01/2026;Ilha ICF 03 - Frios;A fazer;;
C-Vale Caarapó (contrato);02/01/2026;Ilha ICF 04 - Frios;A fazer;;
C-Vale Caarapó (contrato);03/01/2026;Ilha ICF 05 - Frios;A fazer;;
C-Vale Caarapó (contrato);04/01/2026;Ilha ICF 06 - Frios;A fazer;;
C-Vale Caarapó (contrato);05/01/2026;Ilha ICF 07 - Frios;A fazer;;
C-Vale Caarapó (contrato);06/01/2026;Ilha ICF 08 - Frios;A fazer;;
C-Vale Caarapó (contrato);07/01/2026;Ilha ICF 09 - Frios;A fazer;;
C-Vale Caarapó (contrato);08/01/2026;Ilha ICF 10 - Frios;A fazer;;
